Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
IN-2014-PF1912027-41796,6/6/2014,6/8/2014,Second Class,PF-1912027,OFF-AP-4959,Office Supplies,Appliances,3701.52,12,0.0,1036.08
ES-2015-BP1118545-42216,7/31/2015,8/3/2015,Second Class,BP-1118545,OFF-AP-3575,Office Supplies,Appliances,1869.59,4,0.1,186.95
CA-2012-AB10015140-40958,2/19/2012,2/25/2012,Standard Class,AB-100151402,OFF-ST-3078,Office Supplies,Storage,12.62,2,0.2,-2.52
ES-2015-PJ1883564-42255,9/8/2015,9/14/2015,Standard Class,PJ-1883564,OFF-AP-4743,Office Supplies,Appliances,7958.58,14,0.0,3979.08
IN-2015-JS156857-42035,1/31/2015,2/1/2015,First Class,JS-156857,TEC-CO-3597,Technology,Copiers,2565.59,9,0.1,28.4
TZ-2015-RH9555129-42343,12/5/2015,12/7/2015,Second Class,RH-9555129,OFF-AP-4967,Office Supplies,Appliances,3409.74,6,0.0,818.28
PL-2013-AB600103-41494,8/8/2013,8/10/2013,First Class,AB-600103,FUR-TA-4644,Furniture,Tables,1977.72,4,0.0,276.84
CA-2012-AB10015140-40974,3/6/2012,3/7/2012,First Class,AB-100151404,OFF-ST-3744,Office Supplies,Storage,242.94,3,0.0,4.86
IN-2012-JK1532527-41030,5/1/2012,5/2/2012,First Class,JK-1532527,FUR-CH-5774,Furniture,Chairs,2754.0,6,0.0,358.02
ES-2014-LB16795139-41697,2/27/2014,3/1/2014,Second Class,LB-16795139,OFF-AP-4960,Office Supplies,Appliances,5273.7,10,0.0,1898.4
US-2015-NP1832582-42216,7/31/2015,8/1/2015,First Class,NP-1832582,TEC-PH-5268,Technology,Phones,1713.84,4,0.0,445.52
MX-2015-VD2167039-42252,9/5/2015,9/8/2015,First Class,VD-2167039,FUR-TA-4643,Furniture,Tables,2106.5,8,0.2,526.5
IN-2012-PB19210127-41259,12/16/2012,12/19/2012,First Class,PB-19210127,FUR-TA-5060,Furniture,Tables,1715.16,2,0.0,720.36
ES-2012-EB1411048-40981,3/13/2012,3/16/2012,Second Class,EB-1411048,OFF-AP-4743,Office Supplies,Appliances,3069.74,6,0.1,1364.24
CA-2012-AH10030140-41020,4/21/2012,4/23/2012,Second Class,AH-100301406,OFF-FA-6129,Office Supplies,Fasteners,247.84,8,0.0,121.44
IN-2013-BP1123058-41329,2/24/2013,2/24/2013,Same Day,BP-1123058,FUR-CH-5443,Furniture,Chairs,1878.72,4,0.0,582.36
US-2012-RR1952536-41270,12/27/2012,12/29/2012,Second Class,RR-1952536,TEC-PH-5841,Technology,Phones,1696.64,5,0.2,-148.46
ES-2013-BS1136545-41472,7/17/2013,7/19/2013,First Class,BS-1136545,TEC-MA-5503,Technology,Machines,2402.87,9,0.15,763.16
CA-2013-AH10030140-41635,12/27/2013,12/31/2013,Standard Class,AH-100301404,TEC-PH-4389,Technology,Phones,668.16,9,0.2,75.17
IN-2012-DP131057-41215,11/2/2012,11/4/2012,Second Class,DP-131057,OFF-AP-3579,Office Supplies,Appliances,2526.93,5,0.1,561.48
CA-2013-AH10030140-41635,12/27/2013,12/31/2013,Standard Class,AH-100301404,OFF-ST-4291,Office Supplies,Storage,323.1,2,0.0,61.39
CG-2012-AH1003033-41165,9/13/2012,9/14/2012,First Class,AH-1003033,TEC-PH-3148,Technology,Phones,3817.26,6,0.0,1068.66
CA-2012-AH10030140-41041,5/12/2012,5/18/2012,Standard Class,AH-100301404,FUR-CH-4840,Furniture,Chairs,279.46,6,0.2,20.96
CA-2012-AH10030140-41273,12/30/2012,12/31/2012,First Class,AH-100301406,TEC-AC-6340,Technology,Accessories,34.77,3,0.0,11.47
ES-2015-PO18865139-42018,1/14/2015,1/18/2015,Standard Class,PO-18865139,TEC-CO-3598,Technology,Copiers,4141.02,13,0.0,1697.67
IN-2012-DL128657-40918,1/10/2012,1/11/2012,First Class,DL-128657,TEC-PH-5356,Technology,Phones,2875.1,5,0.1,511.1
ID-2014-JB1600059-41873,8/22/2014,8/26/2014,Standard Class,JB-1600059,TEC-PH-5268,Technology,Phones,3200.6,6,0.17,-77.2
IN-2015-BF1100558-42319,11/11/2015,11/15/2015,Standard Class,BF-1100558,TEC-PH-5269,Technology,Phones,4518.78,7,0.0,632.52
IN-2015-VG2180558-42273,9/26/2015,9/28/2015,Second Class,VG-2180558,FUR-BO-5951,Furniture,Bookcases,5667.87,13,0.0,2097.03
ES-2013-GT14710139-41621,12/13/2013,12/17/2013,Standard Class,GT-14710139,TEC-PH-5267,Technology,Phones,5785.02,9,0.0,404.73
IT-2012-ZC2191048-41174,9/22/2012,9/24/2012,First Class,ZC-2191048,OFF-AP-3874,Office Supplies,Appliances,3018.62,7,0.2,377.24
CA-2014-AH10030140-41719,3/21/2014,3/26/2014,Second Class,AH-100301408,FUR-FU-4072,Furniture,Furnishings,86.45,7,0.0,38.04
IT-2014-EB1384045-41706,3/8/2014,3/8/2014,Same Day,EB-1384045,FUR-CH-5441,Furniture,Chairs,2092.5,5,0.1,720.75
IN-2015-AP1091527-42244,8/28/2015,8/29/2015,First Class,AP-1091527,FUR-CH-5380,Furniture,Chairs,2761.2,6,0.0,110.34
IN-2015-SW2027558-42125,5/1/2015,5/1/2015,Same Day,SW-2027558,TEC-MA-5007,Technology,Machines,2174.13,7,0.0,500.01
MX-2015-JH15820141-42356,12/18/2015,12/20/2015,Second Class,JH-15820141,FUR-CH-4531,Furniture,Chairs,3473.14,11,0.0,868.12
US-2012-AH10030140-41206,10/24/2012,10/27/2012,First Class,AH-100301404,OFF-BI-4372,Office Supplies,Binders,49.41,4,0.2,18.53
IR-2015-TG1164060-42265,9/18/2015,9/21/2015,First Class,TG-1164060,TEC-CO-3678,Technology,Copiers,2108.64,8,0.0,527.04
CA-2012-AH10030140-41273,12/30/2012,12/31/2012,First Class,AH-100301406,OFF-LA-3231,Office Supplies,Labels,18.9,3,0.0,8.69
IN-2012-PB19210127-41259,12/16/2012,12/19/2012,First Class,PB-19210127,FUR-BO-5762,Furniture,Bookcases,2197.5,5,0.0,153.75
MZ-2014-DG330087-41991,12/18/2014,12/18/2014,Same Day,DG-330087,TEC-PH-5269,Technology,Phones,2582.16,4,0.0,593.88
IN-2013-SG2047058-41424,5/30/2013,5/31/2013,First Class,SG-2047058,TEC-CO-4590,Technology,Copiers,1526.52,4,0.0,732.72
CA-2012-AH10030140-41020,4/21/2012,4/23/2012,Second Class,AH-100301406,OFF-BI-2937,Office Supplies,Binders,9.91,3,0.2,3.35
IN-2013-GP1474058-41419,5/25/2013,5/28/2013,Second Class,GP-1474058,FUR-TA-3766,Furniture,Tables,1745.34,2,0.0,226.86
IN-2015-MW182207-42221,8/5/2015,8/6/2015,First Class,MW-182207,OFF-AP-3577,Office Supplies,Appliances,4191.51,9,0.1,1164.27
CA-2012-AH10030140-41041,5/12/2012,5/18/2012,Standard Class,AH-100301404,OFF-PA-4014,Office Supplies,Paper,8.0,2,0.0,3.84
IN-2015-CS1246011-42074,3/11/2015,3/13/2015,Second Class,CS-1246011,FUR-BO-5760,Furniture,Bookcases,3063.27,7,0.0,581.91
CA-2015-AH10030140-42357,12/19/2015,12/23/2015,Standard Class,AH-100301406,OFF-AR-3276,Office Supplies,Art,18.7,7,0.2,2.34
ES-2015-MS1798048-42227,8/11/2015,8/16/2015,Second Class,MS-1798048,TEC-PH-5839,Technology,Phones,4473.0,7,0.0,313.11
IT-2014-KC1667548-41882,8/31/2014,9/3/2014,First Class,KC-1667548,TEC-PH-3130,Technology,Phones,1502.01,9,0.0,225.18
IN-2015-DB1340527-42022,1/18/2015,1/23/2015,Standard Class,DB-1340527,FUR-CH-5774,Furniture,Chairs,5049.0,11,0.0,656.37
CA-2015-AS10045140-42007,1/3/2015,1/5/2015,First Class,AS-100451408,TEC-MA-3788,Technology,Machines,695.7,2,0.5,-27.83
IT-2015-DK13090120-42345,12/7/2015,12/8/2015,First Class,DK-13090120,FUR-BO-5760,Furniture,Bookcases,2188.05,5,0.0,1050.15
IN-2015-CS1184558-42354,12/16/2015,12/19/2015,First Class,CS-1184558,FUR-TA-3779,Furniture,Tables,1920.36,4,0.0,652.92
MX-2015-EM1420082-42328,11/20/2015,11/20/2015,Same Day,EM-1420082,TEC-PH-5839,Technology,Phones,1704.0,4,0.0,119.28
UP-2012-DW3480137-41221,11/8/2012,11/10/2012,First Class,DW-3480137,FUR-TA-3771,Furniture,Tables,1858.68,4,0.0,130.08
IN-2014-AS1022527-41797,6/7/2014,6/9/2014,First Class,AS-1022527,FUR-CH-4530,Furniture,Chairs,3298.26,7,0.0,1055.25
MX-2012-ST2053093-41234,11/21/2012,11/22/2012,First Class,ST-2053093,OFF-AP-4497,Office Supplies,Appliances,2443.48,13,0.0,121.94
CG-2014-BW106533-41727,3/29/2014,3/31/2014,Second Class,BW-106533,FUR-CH-4530,Furniture,Chairs,3808.8,8,0.0,1523.52
IN-2015-LA1678059-42242,8/26/2015,8/27/2015,First Class,LA-1678059,FUR-TA-3422,Furniture,Tables,3427.15,7,0.47,-452.81
ES-2013-AB10150139-41537,9/20/2013,9/22/2013,Second Class,AB-10150139,TEC-PH-5355,Technology,Phones,3441.69,6,0.1,38.07
IN-2015-JH158207-42140,5/16/2015,5/18/2015,Second Class,JH-158207,TEC-PH-3147,Technology,Phones,2863.35,5,0.1,858.9
CA-2015-AS10045140-42218,8/2/2015,8/8/2015,Standard Class,AS-100451402,TEC-MA-3329,Technology,Machines,1439.98,3,0.4,-264.0
ES-2014-BE1141048-41967,11/24/2014,11/25/2014,First Class,BE-1141048,TEC-CO-3599,Technology,Copiers,1487.4,10,0.0,728.7
IN-2012-SZ2003527-41221,11/8/2012,11/10/2012,Second Class,SZ-2003527,TEC-CO-6010,Technology,Copiers,3200.04,9,0.0,1183.95
IN-2012-RM1937558-41209,10/27/2012,10/27/2012,Same Day,RM-1937558,FUR-CH-5380,Furniture,Chairs,2301.0,5,0.0,91.95
ES-2015-HG1484545-42327,11/19/2015,11/23/2015,Standard Class,HG-1484545,FUR-CH-4654,Furniture,Chairs,5729.35,14,0.1,63.55
MO-2015-DP310586-42305,10/28/2015,10/30/2015,Second Class,DP-310586,TEC-CO-3710,Technology,Copiers,5301.24,14,0.0,2597.28
CA-2014-AS10045140-41908,9/26/2014,9/28/2014,First Class,AS-100451404,FUR-BO-3176,Furniture,Bookcases,477.67,2,0.15,84.29
US-2015-AS10045140-42252,9/5/2015,9/6/2015,First Class,AS-100451404,OFF-BI-3324,Office Supplies,Binders,88.07,7,0.7,-58.72
ES-2014-JB1600048-41668,1/29/2014,2/5/2014,Standard Class,JB-1600048,TEC-PH-5268,Technology,Phones,3219.9,5,0.0,965.85
ID-2013-AM1070559-41535,9/18/2013,9/21/2013,Second Class,AM-1070559,OFF-AP-4501,Office Supplies,Appliances,2487.81,6,0.17,-269.79
MO-2014-AB25586-41966,11/23/2014,11/23/2014,Same Day,AB-25586,OFF-AP-4745,Office Supplies,Appliances,2266.44,4,0.0,113.28
IN-2013-RP192707-41438,6/13/2013,6/13/2013,Same Day,RP-192707,TEC-CO-3611,Technology,Copiers,3068.36,9,0.1,1124.9
IN-2014-BK1126011-41940,10/28/2014,10/31/2014,First Class,BK-1126011,FUR-BO-4849,Furniture,Bookcases,3728.43,9,0.0,1192.86
IN-2014-JM1525027-41985,12/12/2014,12/14/2014,First Class,JM-1525027,TEC-CO-3678,Technology,Copiers,1581.48,6,0.0,0.0
IN-2013-GP1474058-41419,5/25/2013,5/28/2013,Second Class,GP-1474058,TEC-PH-5356,Technology,Phones,1916.73,3,0.0,498.33
CA-2015-AS10045140-42281,10/4/2015,10/9/2015,Standard Class,AS-100451404,FUR-TA-5066,Furniture,Tables,171.29,3,0.2,-6.42
ES-2014-NZ1856545-41975,12/2/2014,12/2/2014,Same Day,NZ-1856545,OFF-AP-4508,Office Supplies,Appliances,2432.16,5,0.1,513.36
CA-2015-AS10045140-42007,1/3/2015,1/5/2015,First Class,AS-100451408,OFF-BI-3308,Office Supplies,Binders,28.85,6,0.7,-21.16
ID-2014-SC20695102-41667,1/28/2014,1/30/2014,First Class,SC-20695102,FUR-CH-5443,Furniture,Chairs,2465.82,7,0.25,197.19
IN-2013-NC186257-41401,5/7/2013,5/7/2013,Same Day,NC-186257,FUR-TA-3422,Furniture,Tables,1847.52,2,0.0,738.96
ES-2014-NF183858-41970,11/27/2014,11/29/2014,First Class,NF-183858,FUR-BO-4849,Furniture,Bookcases,2899.89,7,0.0,927.78
IN-2013-NZ185657-41606,11/28/2013,12/2/2013,Second Class,NZ-185657,FUR-CH-5774,Furniture,Chairs,2891.7,7,0.1,96.39
IT-2013-PM1894045-41546,9/29/2013,9/29/2013,Same Day,PM-1894045,TEC-MA-5572,Technology,Machines,2016.85,9,0.15,-0.05
ES-2014-MZ1733545-41885,9/3/2014,9/5/2014,Second Class,MZ-1733545,OFF-AP-4503,Office Supplies,Appliances,3155.54,7,0.1,34.94
CG-2014-HM498033-41846,7/26/2014,8/1/2014,Standard Class,HM-498033,TEC-PH-5268,Technology,Phones,3856.14,6,0.0,1465.2
IN-2015-RW195407-42327,11/19/2015,11/25/2015,Standard Class,RW-195407,TEC-PH-3806,Technology,Phones,3524.47,6,0.1,861.37
ES-2013-LH1715545-41444,6/19/2013,6/19/2013,Same Day,LH-1715545,TEC-PH-5840,Technology,Phones,2167.3,4,0.15,790.42
MX-2013-FH1436582-41558,10/11/2013,10/14/2013,First Class,FH-1436582,TEC-PH-5839,Technology,Phones,2556.0,6,0.0,178.92
ES-2012-KM1666048-41129,8/8/2012,8/10/2012,First Class,KM-1666048,TEC-CO-5999,Technology,Copiers,1469.25,5,0.0,308.4
ES-2012-PO1886545-41217,11/4/2012,11/8/2012,Second Class,PO-1886545,TEC-PH-3807,Technology,Phones,4448.83,8,0.15,1517.71
US-2012-AS10045140-41116,7/26/2012,8/1/2012,Standard Class,AS-100451406,OFF-PA-6512,Office Supplies,Paper,65.78,11,0.0,32.23
MX-2014-AB1006028-41755,4/26/2014,4/28/2014,First Class,AB-1006028,FUR-BO-3891,Furniture,Bookcases,2472.66,9,0.0,914.76
IN-2014-DB130607-41999,12/26/2014,12/26/2014,Same Day,DB-130607,OFF-AP-3575,Office Supplies,Appliances,3739.18,8,0.1,747.82
IT-2014-VM2168591-41711,3/13/2014,3/13/2014,Same Day,VM-2168591,FUR-CH-5442,Furniture,Chairs,2570.87,11,0.5,-2211.17
CA-2014-AS10045140-41727,3/29/2014,4/1/2014,First Class,AS-100451408,OFF-ST-4516,Office Supplies,Storage,31.4,2,0.0,7.85
ES-2013-DM1352548-41369,4/5/2013,4/5/2013,Same Day,DM-1352548,TEC-PH-3149,Technology,Phones,2875.77,9,0.5,-1783.08
ES-2013-NM18520120-41634,12/26/2013,12/28/2013,Second Class,NM-18520120,FUR-BO-5948,Furniture,Bookcases,1741.8,4,0.0,261.24
IN-2014-LC168857-41747,4/18/2014,4/19/2014,First Class,LC-168857,TEC-CO-6012,Technology,Copiers,1601.64,5,0.1,587.19
IN-2012-RO1978027-41052,5/23/2012,5/25/2012,Second Class,RO-1978027,OFF-AP-4738,Office Supplies,Appliances,3670.8,7,0.0,367.08
CA-2015-AS10045140-42218,8/2/2015,8/8/2015,Standard Class,AS-100451402,OFF-PA-6557,Office Supplies,Paper,36.29,7,0.2,12.7
ES-2014-EM1406548-41775,5/16/2014,5/20/2014,Second Class,EM-1406548,TEC-CO-4593,Technology,Copiers,1900.95,5,0.0,589.2
CA-2015-AS10045140-42007,1/3/2015,1/5/2015,First Class,AS-100451408,OFF-BI-3185,Office Supplies,Binders,15.66,5,0.7,-12.53
IT-2012-ON1871545-40955,2/16/2012,2/19/2012,Second Class,ON-1871545,FUR-CH-5774,Furniture,Chairs,4544.1,11,0.1,1868.13
IN-2014-VS2182027-41790,5/31/2014,6/2/2014,First Class,VS-2182027,FUR-BO-3639,Furniture,Bookcases,1455.12,4,0.0,116.4
IN-2014-CM121157-41913,10/1/2014,10/2/2014,First Class,CM-121157,TEC-CO-4790,Technology,Copiers,1943.19,6,0.1,258.93
CA-2015-AB10060140-42315,11/7/2015,11/14/2015,Standard Class,AB-100601404,FUR-TA-4622,Furniture,Tables,2036.86,7,0.0,366.63
CA-2014-AB10060140-41884,9/2/2014,9/4/2014,First Class,AB-100601406,OFF-BI-4340,Office Supplies,Binders,4355.17,4,0.2,1415.43
ID-2014-JK153257-41984,12/11/2014,12/14/2014,Second Class,JK-153257,TEC-CO-3709,Technology,Copiers,1695.87,5,0.1,-37.83
IT-2015-RP1927045-42081,3/18/2015,3/21/2015,Second Class,RP-1927045,TEC-CO-5998,Technology,Copiers,1505.98,6,0.15,-265.76
IN-2015-DW1354078-42357,12/19/2015,12/20/2015,First Class,DW-1354078,TEC-PH-3806,Technology,Phones,1954.17,3,0.0,312.66
CA-2015-AB10060140-42315,11/7/2015,11/14/2015,Standard Class,AB-100601404,FUR-CH-4613,Furniture,Chairs,449.57,2,0.2,-73.05
US-2014-AB10060140-41712,3/14/2014,3/19/2014,Standard Class,AB-100601408,OFF-AP-4221,Office Supplies,Appliances,160.32,2,0.0,44.89
CA-2015-AB10060140-42315,11/7/2015,11/14/2015,Standard Class,AB-100601404,TEC-AC-5858,Technology,Accessories,108.96,3,0.0,32.69
MX-2015-GM1444037-42265,9/18/2015,9/18/2015,Same Day,GM-1444037,TEC-CO-3587,Technology,Copiers,1213.19,7,0.002,508.01
IN-2014-SV2081558-41968,11/25/2014,11/27/2014,First Class,SV-2081558,TEC-CO-4577,Technology,Copiers,1590.6,5,0.0,572.55
IN-2014-MM1792027-41950,11/7/2014,11/10/2014,First Class,MM-1792027,TEC-AC-3405,Technology,Accessories,2330.64,9,0.0,1025.46
IN-2015-JK1612059-42204,7/19/2015,7/23/2015,Standard Class,JK-1612059,FUR-BO-5761,Furniture,Bookcases,3278.58,8,0.07,140.82
ID-2013-EM14200130-41502,8/16/2013,8/16/2013,Same Day,EM-14200130,TEC-PH-5268,Technology,Phones,3741.52,7,0.17,946.63
CA-2015-AB10060140-42314,11/6/2015,11/8/2015,First Class,AB-100601402,OFF-PA-6214,Office Supplies,Paper,67.8,10,0.0,31.19
IN-2013-PM1894059-41284,1/10/2013,1/14/2013,Standard Class,PM-1894059,FUR-BO-5787,Furniture,Bookcases,3637.6,10,0.07,156.4
MX-2014-AT1043582-41667,1/28/2014,1/30/2014,First Class,AT-1043582,OFF-AP-4736,Office Supplies,Appliances,2455.88,7,0.0,785.82
ID-2013-AB1001527-41439,6/14/2013,6/17/2013,First Class,AB-1001527,TEC-MA-6150,Technology,Machines,1024.68,8,0.5,-286.92
CA-2015-AB10060140-42314,11/6/2015,11/8/2015,First Class,AB-100601402,OFF-FA-6129,Office Supplies,Fasteners,167.94,3,0.0,82.29
CA-2014-AB10060140-41884,9/2/2014,9/4/2014,First Class,AB-100601406,OFF-PA-6430,Office Supplies,Paper,24.56,2,0.0,11.54
MX-2013-PV1898518-41614,12/6/2013,12/8/2013,First Class,PV-1898518,TEC-AC-5223,Technology,Accessories,2297.96,14,0.0,988.12
IT-2014-SB2029064-41887,9/5/2014,9/7/2014,Second Class,SB-2029064,TEC-CO-4590,Technology,Copiers,2671.41,7,0.0,534.24
SO-2015-SM10005116-42265,9/18/2015,9/20/2015,First Class,SM-10005116,TEC-PH-5839,Technology,Phones,3834.0,6,0.0,268.38
CA-2014-AB10060140-41884,9/2/2014,9/4/2014,First Class,AB-100601406,OFF-PA-6430,Office Supplies,Paper,49.12,4,0.0,23.09
IN-2013-KH1633059-41489,8/3/2013,8/8/2013,Standard Class,KH-1633059,OFF-AP-4960,Office Supplies,Appliances,3501.74,8,0.17,210.86
IN-2015-MP181757-42347,12/9/2015,12/11/2015,First Class,MP-181757,TEC-PH-3149,Technology,Phones,1725.46,3,0.1,747.61
IN-2013-LH1702027-41572,10/25/2013,10/28/2013,First Class,LH-1702027,TEC-CO-3597,Technology,Copiers,1583.7,5,0.0,174.15
CA-2015-AB10060140-42132,5/8/2015,5/13/2015,Standard Class,AB-100601404,TEC-AC-5109,Technology,Accessories,79.99,1,0.0,28.8
ID-2014-CR126257-41878,8/27/2014,8/29/2014,Second Class,CR-126257,FUR-BO-5763,Furniture,Bookcases,2760.35,7,0.1,-214.73
IN-2012-NC1862511-41041,5/12/2012,5/16/2012,Standard Class,NC-1862511,TEC-AC-3403,Technology,Accessories,3078.72,12,0.0,523.08
IT-2012-GM1468091-41215,11/2/2012,11/5/2012,First Class,GM-1468091,OFF-AP-4745,Office Supplies,Appliances,1983.14,7,0.5,-1784.9
ES-2015-RA1994545-42218,8/2/2015,8/3/2015,First Class,RA-1994545,FUR-BO-3624,Furniture,Bookcases,1112.78,3,0.1,296.66
ES-2012-DB1306048-41171,9/19/2012,9/21/2012,Second Class,DB-1306048,TEC-CO-4789,Technology,Copiers,3616.5,10,0.0,36.0
US-2014-AB10060140-41712,3/14/2014,3/19/2014,Standard Class,AB-100601408,FUR-FU-4762,Furniture,Furnishings,127.88,2,0.0,40.92
IN-2014-RF197357-41709,3/11/2014,3/15/2014,Standard Class,RF-197357,TEC-PH-5268,Technology,Phones,2892.11,5,0.1,160.61
ES-2013-JH1582048-41306,2/1/2013,2/4/2013,First Class,JH-1582048,TEC-PH-3806,Technology,Phones,3263.4,5,0.0,848.4
US-2014-AB10060140-41712,3/14/2014,3/19/2014,Standard Class,AB-100601408,OFF-BI-4819,Office Supplies,Binders,46.0,4,0.0,20.7
MX-2015-DM1295551-42103,4/9/2015,4/13/2015,Standard Class,DM-1295551,FUR-TA-5064,Furniture,Tables,3117.09,13,0.2,38.95
CA-2014-AB10060140-41881,8/30/2014,9/4/2014,Standard Class,AB-100601406,OFF-SU-2972,Office Supplies,Supplies,27.93,3,0.0,8.1
MX-2015-BE1133582-42082,3/19/2015,3/21/2015,First Class,BE-1133582,OFF-AP-4745,Office Supplies,Appliances,1888.7,5,0.0,887.6
IN-2014-SO2033527-41914,10/2/2014,10/4/2014,First Class,SO-2033527,OFF-AP-4502,Office Supplies,Appliances,3000.78,6,0.0,1080.18
ES-2014-DK12835120-41651,1/12/2014,1/15/2014,First Class,DK-12835120,OFF-AP-4507,Office Supplies,Appliances,3801.63,7,0.0,1444.59
SA-2015-LC7050110-42236,8/20/2015,8/25/2015,Standard Class,LC-7050110,TEC-PH-3806,Technology,Phones,5211.12,8,0.0,1146.24
IN-2012-PB19210127-41259,12/16/2012,12/19/2012,First Class,PB-19210127,FUR-TA-5065,Furniture,Tables,1356.03,3,0.0,311.85
IN-2015-CG125207-42077,3/14/2015,3/18/2015,Standard Class,CG-125207,OFF-AP-4745,Office Supplies,Appliances,3569.64,7,0.1,674.16
CA-2013-AB10060140-41535,9/18/2013,9/24/2013,Standard Class,AB-100601404,OFF-PA-6420,Office Supplies,Paper,18.54,2,0.0,8.71
ID-2015-HG1502559-42194,7/9/2015,7/13/2015,Standard Class,HG-1502559,FUR-BO-5787,Furniture,Bookcases,2910.08,8,0.07,125.12
ID-2014-AD1018059-41801,6/11/2014,6/15/2014,Standard Class,AD-1018059,FUR-CH-4532,Furniture,Chairs,3126.4,9,0.27,-128.72
ES-2012-BP11155139-41130,8/9/2012,8/16/2012,Standard Class,BP-11155139,TEC-PH-3805,Technology,Phones,5276.99,9,0.1,1758.89
ID-2015-AA10480130-42080,3/17/2015,3/21/2015,Standard Class,AA-10480130,TEC-PH-5840,Technology,Phones,2645.38,5,0.17,-0.02
ID-2014-RL196157-41641,1/2/2014,1/3/2014,First Class,RL-196157,FUR-BO-3639,Furniture,Bookcases,1637.01,5,0.1,-36.39
CA-2014-AB10060140-41884,9/2/2014,9/4/2014,First Class,AB-100601406,OFF-BI-2911,Office Supplies,Binders,3.05,1,0.2,1.07
ID-2013-SW2024559-41557,10/10/2013,10/11/2013,First Class,SW-2024559,TEC-PH-5840,Technology,Phones,2645.38,5,0.17,-0.02
CA-2014-AB10060140-41884,9/2/2014,9/4/2014,First Class,AB-100601406,TEC-AC-5744,Technology,Accessories,6.79,1,0.0,2.31
IN-2012-BW1111027-41076,6/16/2012,6/18/2012,First Class,BW-1111027,FUR-TA-3420,Furniture,Tables,3238.31,5,0.3,-740.3
ES-2015-YC21895139-42097,4/3/2015,4/5/2015,First Class,YC-21895139,FUR-BO-3639,Furniture,Bookcases,2291.81,7,0.1,127.13
MX-2012-JM1558082-41045,5/16/2012,5/19/2012,Second Class,JM-1558082,TEC-PH-5355,Technology,Phones,2124.5,5,0.0,488.6
BO-2015-MZ733513-42046,2/11/2015,2/15/2015,Second Class,MZ-733513,FUR-CH-4654,Furniture,Chairs,2757.78,6,0.0,744.48
ES-2014-JF15295120-41924,10/12/2014,10/12/2014,Same Day,JF-15295120,TEC-AC-4185,Technology,Accessories,1549.98,6,0.0,139.32
CA-2015-AB10060140-42264,9/17/2015,9/22/2015,Standard Class,AB-100601406,OFF-PA-6596,Office Supplies,Paper,20.74,4,0.2,7.26
UP-2015-DJ3510137-42202,7/17/2015,7/19/2015,Second Class,DJ-3510137,OFF-AP-4738,Office Supplies,Appliances,3146.4,6,0.0,629.28
ES-2015-MF1825045-42330,11/22/2015,11/28/2015,Standard Class,MF-1825045,TEC-MA-4205,Technology,Machines,2456.62,11,0.15,664.72
IT-2012-TC2129545-41058,5/29/2012,6/1/2012,First Class,TC-2129545,FUR-TA-4642,Furniture,Tables,2228.64,7,0.35,-754.41
