Region,State
Southern Asia,Hamadan
Southern Africa,Khomas
Central America,Quezaltenango
Central America,La Libertad
Caribbean,Guantánamo
Southeastern Asia,Western Visayas
Southern Europe,Lisboa
Caribbean,San Juan
Eastern Africa,Analamanga
Eastern Europe,Bashkortostan
Southern Asia,Tehran
Southern Asia,Baluchistan
South America,Cundinamarca
Eastern Europe,Volyn
Oceania,Northland
Eastern Asia,Yunnan
Southern Europe,Navarra
Northern Europe,Stockholm
Southern Europe,Asturias
Southern Europe,Campania
Eastern Europe,Poltava
Southern Asia,Andhra Pradesh
Southern Africa,North-West
Eastern Europe,Vladimir
Southern Europe,Castile and León
Southeastern Asia,Yangon
Caribbean,Saint Catherine
Eastern Asia,Tianjin
Caribbean,Barahona
South America,Federal District
Southern Europe,Attica
Western Asia,Ad Dawhah
Eastern Asia,Oita
Oceania,Bay of Plenty
South America,Rio Grande do Norte
Western Europe,Hesse
Canada,Alberta
South America,Santa Catarina
Central America,Yucatán
Eastern Africa,Dar Es Salaam
North Africa,Tadla-Azilal
Central Africa,Niari
Eastern Europe,Kaliningrad
Northern Europe,Vest-Agder
Western Asia,Al Qadisiyah
Caribbean,Mayabeque
North Africa,Alger
Western Asia,Istanbul
Northern Europe,Kaunas
Southern Asia,Ardabil
Central America,Baja California
North Africa,Al Iskandariyah
Eastern Asia,Guangxi
Western Europe,Mecklenburg-Vorpommern
Southern Europe,Trentino-Alto Adige
Western Europe,Basel-Stadt
Eastern Africa,Maputo
Eastern Asia,Seoul
Southern Europe,Lombardy
Southeastern Asia,Sabah
Western US,Colorado
South America,Minas Gerais
Western Africa,Benue
Northern Europe,Harjumaa
Northern Europe,Wales
Southeastern Asia,Kalimantan Timur
Western Asia,Balikesir
Western Africa,Fromager
Central America,Francisco Morazán
Caribbean,Sancti Spíritus
Northern Europe,Hordaland
Western Asia,Ar Riyad
Western Europe,Lucerne
South America,Central
Central Africa,Kasai-Oriental
Western US,Montana
Southern Asia,Jammu and Kashmir
Western Africa,Haut-Sassandra
Central America,Coahuila
Southeastern Asia,Cordillera
Eastern US,Connecticut
Eastern Europe,Chelyabinsk
South America,Espírito Santo
Southern Europe,Abruzzi
Southern Asia,Chittagong
Western Asia,Baghdad
South America,San Luis
Central America,San Luis Potosí
Southern US,Florida
Eastern Europe,Prague
Central Africa,Bangui
Oceania,Hawke's Bay
Western Europe,Antwerp
Eastern Asia,Chiba
Western Africa,Ouémé
Southern Asia,Esfahan
Eastern Europe,L'viv
Northern Europe,Oslo
Western Asia,Arbil
Caribbean,San Pedro de Macorís
Central America,Estelí
Caribbean,Pinar del Río
North Africa,Tanger-Tétouan
South America,Oruro
Eastern Asia,Gunma
Eastern Europe,Amur
Southern Asia,Telangana
Southern US,Alabama
Southern Europe,Durrës
Central America,Tamaulipas
Western US,Utah
South America,Atacama
Caribbean,La Romana
Caribbean,Martinique
Western Europe,Rhineland-Palatinate
South America,Rio de Janeiro
Western Asia,Hims
South America,Tocantins
